date,week,Team,user_name,ao,type,points,notes
2024-11-25,4.0,Prancer,Heifer,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-26,4.0,Prancer,Heifer,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-27,4.0,Prancer,Heifer,ao-the-silo,1stf,3.0,ao-the-silo
2024-12-03,5.0,Prancer,Heifer,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-12-06,5.0,Prancer,Heifer,2nd-f,2ndf,3.0,First Friday at Werk Force
2024-11-05,1.0,Dancer,Woo Woo,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-12,2.0,Dancer,Woo Woo,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-19,3.0,Dancer,Woo Woo,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-26,4.0,Dancer,Woo Woo,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-12-06,5.0,Dancer,Woo Woo,2nd-f,2ndf,3.0,First Friday at Werk Force
2024-11-02,0.0,Olive,Dilly Dilly,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-02,0.0,Olive,Dilly Dilly,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-04,1.0,Olive,Dilly Dilly,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-08,1.0,Olive,Dilly Dilly,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-09,1.0,Olive,Dilly Dilly,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-15,2.0,Olive,Dilly Dilly,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-16,2.0,Olive,Dilly Dilly,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-19,3.0,Olive,Dilly Dilly,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-21,3.0,Olive,Dilly Dilly,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-22,3.0,Olive,Dilly Dilly,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-23,3.0,Olive,Dilly Dilly,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-25,4.0,Olive,Dilly Dilly,ao-the-grove,1stf,3.0,ao-the-grove
